Name,Height (meters),Height (feet),Latitude,Longitude
Kubi Gangri,6859.0,22503,29.765833,82.751667
Angel Sar,6858.0,22500,35.849167,76.490556
Bhagirathi Parbat I,6856.0,22493,30.85,79.149167
Jethi Bahurani,6850.0,22474,29.883333,81.040833
Chongra Peak,6830.0,22408,35.326281,74.677628
Chomo Yummo,6829.0,22405,28.033611,88.545
Reo Purgyil,6816.0,22362,31.884,78.7314
Ama Dablam,6812.0,22349,27.861111,86.861111
Monte Pissis,6795.0,22293,-27.754797,-68.7989
Kangtega,6782.0,22251,27.7833,86.8167
Biarchedi,6781.0,22247,35.688333,76.398611
Huascarán,6768.0,22205,-9.121667,-77.604167
Cerro Bonete,6759.0,22175,-28.0187,-68.7561
Nevado Tres Cruces,6749.0,22142,-27.08,-68.8
Kawagarbo,6740.0,22113,28.438333,98.683333
Llullaillaco,6739.0,22110,-24.716667,-68.533333
Cho Polu,6735.0,22096,27.919167,86.981944
Kangju Kangri,6725.0,22064,33.723333,78.528333
Changla,6721.0,22051,30.1375,82.195833
Mercedario,6720.0,22047,-31.979167,-70.1125
Mount Pandim,6691.0,21952,27.5775,88.215833
Num Ri,6677.0,21906,27.894722,86.970833
Meru Peak,6660.0,21850,30.868056,79.032222
Gul Lasht Zom,6657.0,21841,30.868056,79.032222
Huascarán,6655.0,21834,-9.121667,-77.604167
Khumbutse,6640.0,21785,28.020278,86.873056
Mount Kailash,6638.0,21778,31.066667,81.3125
Yerupajá,6635.0,21768,-10.268497,-76.9047
Nevado Tres Cruces Central,6629.0,21749,-27.069886,-68.785724
Thamserku,6623.0,21729,27.790278,86.7875
Geladaindong Peak,6621.0,21722,33.495833,91.1675
Incahuasi,6621.0,21722,-27.033,-68.296
Pangpoche,6620.0,21719,28.6225,84.6775
Manirang,6597.0,21644,31.953333,78.366667
Nilkantha ,6596.0,21640,30.72,79.4
Phuparash Peak,6574.0,21568,36.050189,74.825008
Sickle Moon Peak,6574.0,21568,33.6025,76.131667
Tupungato,6570.0,21555,-33.358333,-69.77
Buni Zom,6542.0,21463,36.154167,72.3275
Nevado Sajama,6542.0,21463,-18.108056,-68.883056
Ghamubar Zom,6518.0,21385,36.59,73.341667
Singu Chuli,6501.0,21329,28.587222,83.883056
Taboche,6501.0,21329,27.896667,86.7775
Cerro El Muerto,6488.0,21286,-27.0579,-68.4842
Mera Peak,6476.0,21247,27.709167,86.868333
Hiunchuli,6441.0,21132,28.51,83.85
Cholatse,6440.0,21129,27.918056,86.766667
Illimani,6438.0,21122,-16.633333,-67.790833
Ancohuma,6427.0,21086,-15.853333,-68.540833
Coropuna,6425.0,21079,-15.55,-72.65
Antofalla,6409.0,21027,-25.55,-67.883333
Kang Yatze,6400.0,20997,33.748215,77.556825
Huandoy,6395.0,20981,-9.028611,-77.665556
Ausangate,6384.0,20945,-13.788611,-71.231111
Chapaev Peak,6371.0,20902,42.199444,80.138333
Illampu,6368.0,20892,-15.816667,-68.543333
Kusum Kanguru,6367.0,20889,27.730556,86.790833
Kinnaur Kailash,6349.0,20830,31.520556,78.363611
Parinacota ,6348.0,20827,-18.166,-69.142
Siula Grande,6344.0,20814,-10.283333,-76.883333
Bamba Dhura,6334.0,20781,30.44,80.28
Ampato,6288.0,20630,-15.816667,-71.883333
Amne Machin,6282.0,20610,34.798333,99.4625
Pomerape,6282.0,20610,-18.125833,-69.1275
Salcantay,6271.0,20574,-13.333611,-72.544444
Chimborazo,6267.0,20561,-1.469167,-78.8175
Mount Siguniang,6250.0,20505,31.106667,102.901667
Ge'nyen Massif,6224.0,20420,29.84,99.7
Yuzhu Peak,6224.0,20420,35.6525,94.250833
Ge'nyen Massif,6204.0,20354,29.84,99.7
Kongde Ri,6187.0,20299,27.793056,86.643056
Aucanquilcha,6176.0,20262,-21.183333,-68.583333
Imja Tse,6189.0,20305,27.9225,86.936111
Denali,6168.0,20236,63.0695,-151.0074
Stok Kangri,6137.0,20135,33.986111,77.4425
Lobuche,6119.0,20075,27.9595,86.789944
Marmolejo,6108.0,20039,-33.734,-69.878
